id	name	desc	url	type
11308	Karma Knight	2020 PC, Switch video game	https://opencritic.com/game/11308/-	Q7889
3851	Karma. Incarnation 1	2016 PC video game	https://opencritic.com/game/3851/-	Q7889
15849	KarmaZoo	2023 XBXS, PS5, PC, Switch video game	https://opencritic.com/game/15849/-	Q7889
11246	Karnage Chronicles	2020 Vive, Quest, PC video game	https://opencritic.com/game/11246/-	Q7889
12716	KartKraft	2021 PC video game	https://opencritic.com/game/12716/-	Q7889
14243	KartRider: Drift	2023 PC video game	https://opencritic.com/game/14243/-	Q7889
11381	Kasiori	2021 Switch video game	https://opencritic.com/game/11381/-	Q7889
6964	Katamari Damacy Reroll	2018 PC, Switch video game	https://opencritic.com/game/6964/-	Q7889
9039	KATANA KAMI: A Way of the Samurai Story	2020 Switch, PS4, PC, PS5 video game	https://opencritic.com/game/9039/-	Q7889
7596	Katana Zero	2019 PC, Switch, PS4, PS5 video game	https://opencritic.com/game/7596/-	Q7889
2694	Kathy Rain	2016 PC video game	https://opencritic.com/game/2694/-	Q7889
9388	Kawaii Deathu Desu	2019 Switch, PC video game	https://opencritic.com/game/9388/-	Q7889
14599	Kawaii Slime Arena	2022 Switch, PS5, PS4, PC video game	https://opencritic.com/game/14599/-	Q7889
13387	Kayak VR: Mirage	2022 PC, Vive, Quest video game	https://opencritic.com/game/13387/-	Q7889
11097	Kaze and the Wild Masks	2021 XBXS, PS5, Switch, PC, Stadia, XB1, PS4 video game	https://opencritic.com/game/11097/-	Q7889
9773	Keen: One Girl Army	2020 Switch, PC video game	https://opencritic.com/game/9773/-	Q7889
2519	Keep Talking and Nobody Explodes	2015 PC video game	https://opencritic.com/game/2519/-	Q7889
2520	Keep Talking and Nobody Explodes (VR)	2016 Quest, PSVR video game	https://opencritic.com/game/2520/-	Q7889
3052	Kelvin and the Infamous Machine	2016 PC video game	https://opencritic.com/game/3052/-	Q7889
9100	Kemono Heroes	2020 Switch video game	https://opencritic.com/game/9100/-	Q7889
5811	Ken Follet's The Pillars of the Earth	2018 PS4, XB1, PC, XBXS, PS5 video game	https://opencritic.com/game/5811/-	Q7889
4715	Ken Follett's The Pillars of the Earth - Book One	2017 PS4, XB1, PC, XBXS, PS5 video game	https://opencritic.com/game/4715/-	Q7889
5806	Ken Follett's The Pillars of the Earth - Book Three	2018 PS4, XB1, PC, XBXS, PS5 video game	https://opencritic.com/game/5806/-	Q7889
5305	Ken Follett's The Pillars of the Earth - Book Two	2017 PC video game	https://opencritic.com/game/5305/-	Q7889
11516	Kena: Bridge of Spirits	2021 PS5, PS4, PC video game	https://opencritic.com/game/11516/-	Q7889
7007	Kenshi	2018 PC video game	https://opencritic.com/game/7007/-	Q7889
6489	Kensho	2018 PC, Switch video game	https://opencritic.com/game/6489/-	Q7889
6536	Kentucky Robo Chicken	2018 Switch video game	https://opencritic.com/game/6536/-	Q7889
3014	Kentucky Route Zero	2013 PC video game	https://opencritic.com/game/3014/-	Q7889
8898	Kentucky Route Zero: The Complete Season	2020 Switch, XB1, PS4, XBXS, PS5 video game	https://opencritic.com/game/8898/-	Q7889
13253	Keplerth	2022 PC video game	https://opencritic.com/game/13253/-	Q7889
562	Kerbal Space Program	2015 PS4, XB1, Wii-U, PC, XBXS, PS5 video game	https://opencritic.com/game/562/-	Q7889
5696	Kerbal Space Program - Making History	2018 PC video game	https://opencritic.com/game/5696/-	Q7889
14370	Kerbal Space Program 2	2023 PC, XBXS, PS5, XB1, PS4 video game	https://opencritic.com/game/14370/-	Q7889
8292	Kerbal Space Program: Breaking Ground Expansion	2019 PC video game	https://opencritic.com/game/8292/-	Q7889
5428	Kerbal Space Program: Enhanced Edition	2018 XB1, PS4, XBXS, PS5 video game	https://opencritic.com/game/5428/-	Q7889
