id	q	name	desc	url	type	P21
p21603		(주)애프터타임	video game developer/producer	https://vndb.org/p21603	Q210167	
p10895		-In.	video game developer/producer	https://vndb.org/p10895	Q210167	
p19866		072 Project	video game developer/producer	https://vndb.org/p19866	Q210167	
p15313		0UP GAMES	video game developer/producer	https://vndb.org/p15313	Q210167	
p11993	Q110739151	101XP	video game developer/producer	https://vndb.org/p11993	Q210167	
p817		10mile	video game developer/producer	https://vndb.org/p817	Q210167	
p143		130cm	video game developer/producer	https://vndb.org/p143	Q210167	
p729		13cc	video game developer/producer	https://vndb.org/p729	Q210167	
p560	Q4549385	13cm	video game developer/producer	https://vndb.org/p560	Q210167	
p6532	Q93671170	1492 Studio	video game developer/producer	https://vndb.org/p6532	Q210167	
p23179		18Bit Studio	video game developer/producer	https://vndb.org/p23179	Q210167	
p5676		18ロケットアイスクリーム.biz	video game developer/producer	https://vndb.org/p5676	Q210167	
p24520		1905	video game developer/producer	https://vndb.org/p24520	Q210167	
p15012		1Print Games	video game developer/producer	https://vndb.org/p15012	Q210167	
p28008	Q2813753	1st Playable Productions	video game developer/producer	https://vndb.org/p28008	Q210167	
p18136		213℉	video game developer/producer	https://vndb.org/p18136	Q210167	
p15047		2Awesome Studio	video game developer/producer	https://vndb.org/p15047	Q210167	
p12317	Q138783869	2P Games	video game developer/producer	https://vndb.org/p12317	Q210167	
p3864		3Daisy	video game developer/producer	https://vndb.org/p3864	Q210167	
p1649	Q11187671	3rdEye	video game developer/producer	https://vndb.org/p1649	Q210167	
p9079		45-world	video game developer/producer	https://vndb.org/p9079	Q210167	
p2778		48Te	video game developer/producer	https://vndb.org/p2778	Q210167	
p22541		4Dimensions	video game developer/producer	https://vndb.org/p22541	Q210167	
p29762		4Divinity	video game developer/producer	https://vndb.org/p29762	Q210167	
p911	Q2068658	505 Games	video game developer/producer	https://vndb.org/p911	Q210167	
p3571		5bit	video game developer/producer	https://vndb.org/p3571	Q210167	
p24094		5R	video game developer/producer	https://vndb.org/p24094	Q210167	
p27303		69Waves	video game developer/producer	https://vndb.org/p27303	Q210167	
p2229		A-arms	video game developer/producer	https://vndb.org/p2229	Q210167	
p230		A.S.S.	video game developer/producer	https://vndb.org/p230	Q210167	
p4104		A2	video game developer/producer	https://vndb.org/p4104	Q210167	
p5968		AAD PRODUCTIONS, LLC	video game developer/producer	https://vndb.org/p5968	Q210167	
p1379	Q11282011	Aaru	video game developer/producer	https://vndb.org/p1379	Q210167	
