id	name	desc	url	type	P400
44903	ドラゴンボール ザ ブレイカーズ	2022 XOne video game	https://www.famitsu.com/games/t/44903/	Q7889	Q13361286
44904	ドラゴンボール ザ ブレイカーズ	2022 PC video game	https://www.famitsu.com/games/t/44904/	Q7889	Q1406
44905	ヌヌの唄：リーグ・オブ・レジェンド ストーリー	2022 Switch video game	https://www.famitsu.com/games/t/44905/	Q7889	Q19610114
44906	ヌヌの唄：リーグ・オブ・レジェンド ストーリー	2022 XSX video game	https://www.famitsu.com/games/t/44906/	Q7889	Q98973368
44907	ヌヌの唄：リーグ・オブ・レジェンド ストーリー	2022 XOne video game	https://www.famitsu.com/games/t/44907/	Q7889	Q13361286
44908	ヌヌの唄：リーグ・オブ・レジェンド ストーリー	2022 PS4 video game	https://www.famitsu.com/games/t/44908/	Q7889	Q5014725
44909	ヌヌの唄：リーグ・オブ・レジェンド ストーリー	2022 PS5 video game	https://www.famitsu.com/games/t/44909/	Q7889	Q63184502
44910	ヌヌの唄：リーグ・オブ・レジェンド ストーリー	2022 PC video game	https://www.famitsu.com/games/t/44910/	Q7889	Q1406
44911	スペースモス・ルナエディション	2021 PS4 video game	https://www.famitsu.com/games/t/44911/	Q7889	Q5014725
44919	クランN：影の守人	2021 Switch video game	https://www.famitsu.com/games/t/44919/	Q7889	Q19610114
44923	Tandem:影の物語	2021 Switch video game	https://www.famitsu.com/games/t/44923/	Q7889	Q19610114
44924	Tandem:影の物語	2021 PS4 video game	https://www.famitsu.com/games/t/44924/	Q7889	Q5014725
44931	みんなのカーリング	2022 Switch video game	https://www.famitsu.com/games/t/44931/	Q7889	Q19610114
44932	スペースモス・ルナエディション	2021 XOne video game	https://www.famitsu.com/games/t/44932/	Q7889	Q13361286
44933	スペースモス・ルナエディション	2021 PC video game	https://www.famitsu.com/games/t/44933/	Q7889	Q1406
44952	荒神2	2021 PS4 video game	https://www.famitsu.com/games/t/44952/	Q7889	Q5014725
44953	荒神2	2021 PS5 video game	https://www.famitsu.com/games/t/44953/	Q7889	Q63184502
44954	PAC-MAN MUSEUM+	2022 PS4 video game	https://www.famitsu.com/games/t/44954/	Q7889	Q5014725
44955	PAC-MAN MUSEUM+	2022 XOne video game	https://www.famitsu.com/games/t/44955/	Q7889	Q13361286
44956	PAC-MAN MUSEUM+	2022 Switch video game	https://www.famitsu.com/games/t/44956/	Q7889	Q19610114
44957	PAC-MAN MUSEUM+	2022 PC video game	https://www.famitsu.com/games/t/44957/	Q7889	Q1406
44958	パルフォン	2021 PC video game	https://www.famitsu.com/games/t/44958/	Q7889	Q1406
44959	ビルシャナ戦姫 ～一樹の風～ ツインパック	2022 Switch video game	https://www.famitsu.com/games/t/44959/	Q7889	Q19610114
44964	鉄拳7 Originals Edition	2021 XSX video game	https://www.famitsu.com/games/t/44964/	Q7889	Q98973368
44968	NOSTALGIC TRAIN	2021 PS4 video game	https://www.famitsu.com/games/t/44968/	Q7889	Q5014725
44969	NOSTALGIC TRAIN	2021 PS5 video game	https://www.famitsu.com/games/t/44969/	Q7889	Q63184502
44970	ホロアース	PC video game	https://www.famitsu.com/games/t/44970/	Q7889	Q1406
44976	超次元ゲイム ネプテューヌ Sisters vs Sisters	2022 PS4 video game	https://www.famitsu.com/games/t/44976/	Q7889	Q5014725
44977	超次元ゲイム ネプテューヌ Sisters vs Sisters	2022 PS5 video game	https://www.famitsu.com/games/t/44977/	Q7889	Q63184502
44978	CHAOS;HEAD NOAH / CHAOS;CHILD DOUBLE PACK	2022 Switch video game	https://www.famitsu.com/games/t/44978/	Q7889	Q19610114
44980	Gearshifters	2021 PS4 video game	https://www.famitsu.com/games/t/44980/	Q7889	Q5014725
44982	Gearshifters	2021 Switch video game	https://www.famitsu.com/games/t/44982/	Q7889	Q19610114
44986	開拓サバイバル島DX	2021 Switch video game	https://www.famitsu.com/games/t/44986/	Q7889	Q19610114
44992	メルキス	2021 Switch video game	https://www.famitsu.com/games/t/44992/	Q7889	Q19610114
44996	トレジャーハント　エーゲ海の秘宝	2021 Switch video game	https://www.famitsu.com/games/t/44996/	Q7889	Q19610114
44997	トレジャーハント　エーゲ海の秘宝	2021 PS4 video game	https://www.famitsu.com/games/t/44997/	Q7889	Q5014725
44998	トレジャーハント　エーゲ海の秘宝	2021 PS5 video game	https://www.famitsu.com/games/t/44998/	Q7889	Q63184502
45000	はぴねす！SakuraCelebration	2022 Switch video game	https://www.famitsu.com/games/t/45000/	Q7889	Q19610114
45001	十三機兵防衛圏	2022 Switch video game	https://www.famitsu.com/games/t/45001/	Q7889	Q19610114
45002	東京24区 -祈-	2022 Switch video game	https://www.famitsu.com/games/t/45002/	Q7889	Q19610114
45004	World War Z	2022 Switch video game	https://www.famitsu.com/games/t/45004/	Q7889	Q19610114
45007	One Hand Clapping	2021 XOne video game	https://www.famitsu.com/games/t/45007/	Q7889	Q13361286
45008	One Hand Clapping	2021 Switch video game	https://www.famitsu.com/games/t/45008/	Q7889	Q19610114
45009	One Hand Clapping	2021 PS4 video game	https://www.famitsu.com/games/t/45009/	Q7889	Q5014725
45010	ぬすんであそぼ！ドロボー幼稚園	2021 PC video game	https://www.famitsu.com/games/t/45010/	Q7889	Q1406
45011	Metaverse Keeper	2021 PS4 video game	https://www.famitsu.com/games/t/45011/	Q7889	Q5014725
45012	EVE ghost enemies	2022 Switch video game	https://www.famitsu.com/games/t/45012/	Q7889	Q19610114
45013	EVE ghost enemies	2022 PS4 video game	https://www.famitsu.com/games/t/45013/	Q7889	Q5014725
45014	Crimzon Clover World EXplosion	2021 PC video game	https://www.famitsu.com/games/t/45014/	Q7889	Q1406
45015	スターメロディー ユメミドリーマー	2021 PC video game	https://www.famitsu.com/games/t/45015/	Q7889	Q1406
45022	A Juggler's Tale (ジャグラーズ・テイル)	2021 PS4 video game	https://www.famitsu.com/games/t/45022/	Q7889	Q5014725
45023	A Juggler's Tale (ジャグラーズ・テイル)	2021 PS5 video game	https://www.famitsu.com/games/t/45023/	Q7889	Q63184502
45025	A Juggler's Tale (ジャグラーズ・テイル)	2021 Switch video game	https://www.famitsu.com/games/t/45025/	Q7889	Q19610114
45029	スペースモス・ルナエディション	2021 XSX video game	https://www.famitsu.com/games/t/45029/	Q7889	Q98973368
45038	RUGBY22	2022 PS4 video game	https://www.famitsu.com/games/t/45038/	Q7889	Q5014725
45039	RUGBY22	2022 PS5 video game	https://www.famitsu.com/games/t/45039/	Q7889	Q63184502
45041	.hack//G.U. Last Recode	2022 Switch video game	https://www.famitsu.com/games/t/45041/	Q7889	Q19610114
45043	徒花異譚	2021 Switch video game	https://www.famitsu.com/games/t/45043/	Q7889	Q19610114
45044	ATRI -MY Dear Moments-	2021 Switch video game	https://www.famitsu.com/games/t/45044/	Q7889	Q19610114
45046	イースVIII&IX スーパープライスセット	2022 PS4 video game	https://www.famitsu.com/games/t/45046/	Q7889	Q5014725
45049	アイカギ きみと一緒にパック	2021 Switch video game	https://www.famitsu.com/games/t/45049/	Q7889	Q19610114
45057	Godfall チャレンジャーエディション	2021 PS4 video game	https://www.famitsu.com/games/t/45057/	Q7889	Q5014725
45059	ぎゃる☆がん だぶるぴーす	2022 Switch video game	https://www.famitsu.com/games/t/45059/	Q7889	Q19610114
45067	シロナガス島への帰還	Switch video game	https://www.famitsu.com/games/t/45067/	Q7889	Q19610114
45078	ペルソナ4 ジ・アルティマックス ウルトラスープレックスホールド リマスター版	2022 PS4 video game	https://www.famitsu.com/games/t/45078/	Q7889	Q5014725
45079	ペルソナ4 ジ・アルティマックス ウルトラスープレックスホールド リマスター版	2022 Switch video game	https://www.famitsu.com/games/t/45079/	Q7889	Q19610114
45085	ファイナルファンタジーVII リメイク インターグレード	2021 PC video game	https://www.famitsu.com/games/t/45085/	Q7889	Q1406
45097	Zoo Seeker	2021 PC video game	https://www.famitsu.com/games/t/45097/	Q7889	Q1406
45116	キストリロジー	2022 Switch video game	https://www.famitsu.com/games/t/45116/	Q7889	Q19610114
45117	放課後シンデレラ	2022 Switch video game	https://www.famitsu.com/games/t/45117/	Q7889	Q19610114
45118	放課後シンデレラ	2022 PS4 video game	https://www.famitsu.com/games/t/45118/	Q7889	Q5014725
45130	LEGO マーベル スーパー・ヒーローズ ザ・ゲーム	2021 Switch video game	https://www.famitsu.com/games/t/45130/	Q7889	Q19610114
45131	DNF DUEL	2022 PS4 video game	https://www.famitsu.com/games/t/45131/	Q7889	Q5014725
45132	DNF DUEL	2022 PS5 video game	https://www.famitsu.com/games/t/45132/	Q7889	Q63184502
45140	九龍妖魔學園紀 ORIGIN OF ADVENTURE	2022 PS4 video game	https://www.famitsu.com/games/t/45140/	Q7889	Q5014725
45141	Ghost of a Tale	2021 PC video game	https://www.famitsu.com/games/t/45141/	Q7889	Q1406
45146	ベティア ペラペラ英語アドベンチャー	2022 Switch video game	https://www.famitsu.com/games/t/45146/	Q7889	Q19610114
45153	Greak: Memories of Azur	2021 PS4 video game	https://www.famitsu.com/games/t/45153/	Q7889	Q5014725
45161	閃乱忍忍忍者大戦ネプテューヌ -少女達の響艶-	2022 Switch video game	https://www.famitsu.com/games/t/45161/	Q7889	Q19610114
